asset_id,triangle_count,file
CHAR_FEMALE_HERO_V4_001,15552,models/v4_characters/CHAR_FEMALE_HERO_V4_001.glb
CHAR_MALE_HERO_V4_001,15552,models/v4_characters/CHAR_MALE_HERO_V4_001.glb
CHAR_RECEPTIONIST_HERO_V4_001,15552,models/v4_characters/CHAR_RECEPTIONIST_HERO_V4_001.glb
HERO_GLASS_MEETING_ROOM_V4_001,74032,models/v4_hero/HERO_GLASS_MEETING_ROOM_V4_001.glb
HERO_LOUNGE_BLUE_AREA_V4_001,74184,models/v4_hero/HERO_LOUNGE_BLUE_AREA_V4_001.glb
HERO_PANTRY_CAFE_V4_001,8932,models/v4_hero/HERO_PANTRY_CAFE_V4_001.glb
HERO_RECEPTION_LOBBY_V4_001,142470,models/v4_hero/HERO_RECEPTION_LOBBY_V4_001.glb
HERO_WORKSTATION_CLUSTER_V4_001,139520,models/v4_hero/HERO_WORKSTATION_CLUSTER_V4_001.glb
