file,valid,meshes,materials,images,textures,skins,animations,all_tri_primitives_have_normals,all_tri_primitives_have_uv0,bytes
01_runtime_3d/models_pbr_v10/lounge/SOFA_SECTIONAL_BLUE_HERO_001.glb,True,16,2,6,6,0,0,True,True,502292
01_runtime_3d/models_pbr_v10/lounge/TABLE_COFFEE_ROUND_001.glb,True,3,2,6,6,0,0,True,True,581800
01_runtime_3d/models_pbr_v10/lounge/TABLE_SIDE_001.glb,True,5,2,6,6,0,0,True,True,580792
01_runtime_3d/models_pbr_v10/meeting/MEETING_CAMERA_BAR_001.glb,True,3,2,6,6,0,0,True,True,119020
01_runtime_3d/models_pbr_v10/meeting/MEETING_CHAIR_BLACK_001.glb,True,4,2,6,6,0,0,True,True,378384
01_runtime_3d/models_pbr_v10/meeting/MEETING_SPEAKERPHONE_001.glb,True,2,2,6,6,0,0,True,True,269916
01_runtime_3d/models_pbr_v10/meeting/MEETING_TABLE_4P_001.glb,True,3,2,6,6,0,0,True,True,580104
01_runtime_3d/models_pbr_v10/meeting/MEETING_TABLE_8P_HERO_001.glb,True,3,2,6,6,0,0,True,True,580116
01_runtime_3d/models_pbr_v10/meeting/MEETING_TV_WALL_001.glb,True,3,3,11,11,0,0,True,True,132452
01_runtime_3d/models_pbr_v10/meeting/MEETING_WHITEBOARD_MOBILE_001.glb,True,14,4,12,12,0,0,True,True,554448
01_runtime_3d/models_pbr_v10/meeting/MEETING_WHITEBOARD_WALL_001.glb,True,10,3,9,9,0,0,True,True,459272
01_runtime_3d/models_pbr_v10/pantry/BAR_STOOL_BLUE_001.glb,True,4,2,6,6,0,0,True,True,380984
01_runtime_3d/models_pbr_v10/pantry/COFFEE_MACHINE_001.glb,True,5,3,9,9,0,0,True,True,356472
01_runtime_3d/models_pbr_v10/pantry/FRIDGE_001.glb,True,4,2,6,6,0,0,True,True,273612
01_runtime_3d/models_pbr_v10/pantry/MICROWAVE_001.glb,True,3,3,9,9,0,0,True,True,278256
01_runtime_3d/models_pbr_v10/pantry/PANTRY_COUNTER_MARBLE_HERO_001.glb,True,6,3,9,9,0,0,True,True,753100
01_runtime_3d/models_pbr_v10/pantry/WATER_DISPENSER_001.glb,True,5,5,15,15,0,0,True,True,466924
